ecg_beats,f1,fixed_delay_ms,hr_abs_error_bpm,hr_ecg_bpm,hr_radar_bpm,ibi_mae_ms,matched_beats,method,precision,radar_beats,recall,rmssd_abs_error_ms,sdnn_abs_error_ms,subject,timing_mae_ms,tolerance_ms
156,0.20689655172413793,-18.000000000000682,1.3038956804876634,40.683508098378724,41.98740377886639,36.94259510869603,24,c1c_local_peak,0.3157894736842105,76,0.15384615384615385,24.23503651194278,9.877915205524914,97793,22.468414306640714,50.0
156,0.28448275862068967,-18.000000000000682,1.5388601434725402,63.61852905190498,62.07966890843244,47.954742431640966,33,c1c_local_peak,0.4342105263157895,76,0.21153846153846154,37.99771030770762,17.16059006487876,97793,33.02102568655318,75.0
156,0.3793103448275862,-18.000000000000682,2.8357599961643984,75.38715056448316,72.55139056831877,64.04452443677339,44,c1c_local_peak,0.5789473684210527,76,0.28205128205128205,47.79608054624168,15.887499610774512,97793,47.02388139204561,100.0
156,0.4827586206896552,-18.000000000000682,0.5478209938623024,77.78116072937549,78.32898172323779,82.59075816761354,56,c1c_local_peak,0.7368421052631579,76,0.358974358974359,22.206973927523904,11.188761139493522,97793,65.27592686244421,150.0
156,0.13333333333333333,-18.000000000000682,0.33769965305523186,38.877986621454546,39.21568627450978,39.69492187499773,16,c1d_radarbeat_global_dp,0.19047619047619047,84,0.10256410256410256,25.7304258615859,9.912820494923835,97793,28.20596313476509,50.0
156,0.225,-18.000000000000682,4.917490387768012,75.50572568188555,70.58823529411754,56.73441256009572,27,c1d_radarbeat_global_dp,0.32142857142857145,84,0.17307692307692307,58.2838671491827,24.70752795738008,97793,42.449381510416536,75.0
156,0.2833333333333333,-18.000000000000682,7.158025025716711,75.33984320753497,68.18181818181826,56.65772964015048,34,c1d_radarbeat_global_dp,0.40476190476190477,84,0.21794871794871795,60.886237796679325,28.2658419831198,97793,51.29304773667229,100.0
156,0.5083333333333333,-18.000000000000682,0.8335413750726985,79.1664586249273,80.0,86.30117187500015,61,c1d_radarbeat_global_dp,0.7261904761904762,84,0.391025641025641,38.03971673433466,7.86926031932046,97793,85.86349337218216,150.0
121,0.16,-18.000000000000682,0.2885050155833966,28.093708797094028,28.382213812677424,25.541455078126866,16,c1c_local_peak,0.20253164556962025,79,0.1322314049586777,22.063568954458788,12.698831696778143,9779,32.73458862304746,50.0
121,0.25,-18.000000000000682,0.4944633404329011,41.463578617609116,41.95804195804202,30.936187744141296,25,c1c_local_peak,0.31645569620253167,79,0.2066115702479339,25.013779955957034,12.37424377303887,9779,41.33064453125053,75.0
121,0.28,-18.000000000000682,0.9386123865005516,42.28905331955138,43.22766570605193,31.978090639468146,28,c1c_local_peak,0.35443037974683544,79,0.23140495867768596,20.300009803733246,10.852354104935785,9779,45.86707414899617,100.0
121,0.34,-18.000000000000682,3.08708043421759,59.00506738668728,55.91798695246969,65.23423443418567,34,c1c_local_peak,0.43037974683544306,79,0.2809917355371901,6.137723336645649,2.338775398662847,9779,63.4638959099266,150.0
121,0.1388888888888889,-18.000000000000682,0.08669728753574368,15.702776396674782,15.789473684210526,26.02322823660723,15,c1d_radarbeat_global_dp,0.15789473684210525,95,0.12396694214876033,26.392174316088585,17.465972445431817,9779,31.86344401041753,50.0
121,0.2037037037037037,-18.000000000000682,0.003829797631979659,28.172843882139034,28.169014084507054,39.85881696428447,22,c1d_radarbeat_global_dp,0.23157894736842105,95,0.18181818181818182,29.99832706975485,18.359994483691935,9779,41.002985174006135,75.0
121,0.28703703703703703,-18.000000000000682,0.5796706083895415,42.43108207978251,43.010752688172055,59.03216959635413,31,c1d_radarbeat_global_dp,0.3263157894736842,95,0.256198347107438,32.4521219122239,19.761472212403078,9779,54.301883820565216,100.0
